year,boiler_type,sales_units_est,sales_value_million_ntd_est,phase,assumed_yoy_growth
2022,貫流式鍋爐,430,688.0,歷史估算,
2023,貫流式鍋爐,470,752.0,歷史估算,9.3%
2024,貫流式鍋爐,510,816.0,歷史估算,8.5%
2025,貫流式鍋爐,545,872.0,歷史估算,6.9%
2026,貫流式鍋爐,575,920.0,目前估算,5.5%
2027,貫流式鍋爐,604,966.4,預估,5.0%
2028,貫流式鍋爐,634,1014.4,預估,5.0%
2022,煙管式蒸汽鍋爐,210,798.0,歷史估算,
2023,煙管式蒸汽鍋爐,220,836.0,歷史估算,4.8%
2024,煙管式蒸汽鍋爐,230,874.0,歷史估算,4.5%
2025,煙管式蒸汽鍋爐,240,912.0,歷史估算,4.3%
2026,煙管式蒸汽鍋爐,248,942.4,目前估算,3.3%
2027,煙管式蒸汽鍋爐,255,969.0,預估,3.0%
2028,煙管式蒸汽鍋爐,263,999.4,預估,3.0%
2022,水管式蒸汽鍋爐,95,617.5,歷史估算,
2023,水管式蒸汽鍋爐,100,650.0,歷史估算,5.3%
2024,水管式蒸汽鍋爐,105,682.5,歷史估算,5.0%
2025,水管式蒸汽鍋爐,110,715.0,歷史估算,4.8%
2026,水管式蒸汽鍋爐,116,754.0,目前估算,5.5%
2027,水管式蒸汽鍋爐,121,786.5,預估,4.0%
2028,水管式蒸汽鍋爐,126,819.0,預估,4.0%
